Word,W_Length,W_TotalStrokes,W_Count,W(log),W_million,W_CD,W_CD(log),W_CD(ratio)
江河日下,4,21,3,0.4771,0.09,3,0.4771,0.05
借故,2,19,3,0.4771,0.09,3,0.4771,0.05
抗热,2,17,3,0.4771,0.09,2,0.301,0.03
艾比卡尔,4,19,3,0.4771,0.09,1,0,0.02
伯里克利,4,28,3,0.4771,0.09,1,0,0.02
查碧特斯基,5,56,3,0.4771,0.09,1,0,0.02
任人唯亲,4,28,3,0.4771,0.09,3,0.4771,0.05
麦诺亚,3,23,3,0.4771,0.09,1,0,0.02
见所未见,4,21,3,0.4771,0.09,3,0.4771,0.05
法翁,2,18,3,0.4771,0.09,2,0.301,0.03
但凯西,3,21,3,0.4771,0.09,3,0.4771,0.05
胡森,2,21,3,0.4771,0.09,2,0.301,0.03
甲尼撒,3,25,3,0.4771,0.09,3,0.4771,0.05
齐林斯基,4,37,3,0.4771,0.09,1,0,0.02
临刑,2,15,3,0.4771,0.09,3,0.4771,0.05
法纪,2,14,3,0.4771,0.09,3,0.4771,0.05
戴菲路易士,5,52,3,0.4771,0.09,1,0,0.02
休业,2,11,3,0.4771,0.09,3,0.4771,0.05
议定,2,13,3,0.4771,0.09,3,0.4771,0.05
弗瑞克,3,25,3,0.4771,0.09,1,0,0.02
皮克斯,3,24,3,0.4771,0.09,3,0.4771,0.05
信心百倍,4,29,3,0.4771,0.09,3,0.4771,0.05
客帮,2,18,3,0.4771,0.09,1,0,0.02
格利高里·派克,7,50,3,0.4771,0.09,3,0.4771,0.05
塞萨洛尼基,5,49,3,0.4771,0.09,1,0,0.02
吾辈,2,19,3,0.4771,0.09,2,0.301,0.03
发球权,3,22,3,0.4771,0.09,3,0.4771,0.05
外包装,3,22,3,0.4771,0.09,3,0.4771,0.05
哈利贝瑞,4,33,3,0.4771,0.09,2,0.301,0.03
病容,2,20,3,0.4771,0.09,3,0.4771,0.05
沙夏,2,17,3,0.4771,0.09,1,0,0.02
西格弗里德,5,43,3,0.4771,0.09,2,0.301,0.03
阿兰·辛克莱尔,7,41,3,0.4771,0.09,1,0,0.02
沙夫,2,11,3,0.4771,0.09,1,0,0.02
花鸟,2,12,3,0.4771,0.09,3,0.4771,0.05
掛,1,11,3,0.4771,0.09,3,0.4771,0.05
书斋,2,14,3,0.4771,0.09,2,0.301,0.03
尼桑,2,15,3,0.4771,0.09,3,0.4771,0.05
过失罪,3,24,3,0.4771,0.09,3,0.4771,0.05
沙堆,2,18,3,0.4771,0.09,2,0.301,0.03
洗印,2,14,3,0.4771,0.09,3,0.4771,0.05
硅酮,2,24,3,0.4771,0.09,2,0.301,0.03
重元素,3,23,3,0.4771,0.09,3,0.4771,0.05
弗拉格斯塔夫,6,51,3,0.4771,0.09,2,0.301,0.03
不辱使命,4,30,3,0.4771,0.09,3,0.4771,0.05
展览室,3,28,3,0.4771,0.09,3,0.4771,0.05
卡尔·丹汉姆,6,27,3,0.4771,0.09,1,0,0.02
西莲,2,16,3,0.4771,0.09,2,0.301,0.03
兵士,2,10,3,0.4771,0.09,3,0.4771,0.05
脱钩,2,20,3,0.4771,0.09,3,0.4771,0.05
水疱,2,14,3,0.4771,0.09,2,0.301,0.03
诺亚·丹尼尔斯,7,42,3,0.4771,0.09,3,0.4771,0.05
庞贝城,3,21,3,0.4771,0.09,1,0,0.02
艾尔维·乔克埃尔,8,49,3,0.4771,0.09,1,0,0.02
陆虎,2,15,3,0.4771,0.09,2,0.301,0.03
布迪镇,3,28,3,0.4771,0.09,1,0,0.02
沙岩,2,15,3,0.4771,0.09,2,0.301,0.03
早婚,2,17,3,0.4771,0.09,3,0.4771,0.05
塞拉芬娜·佩卡拉,8,58,3,0.4771,0.09,1,0,0.02
马自达,3,15,3,0.4771,0.09,3,0.4771,0.05
克莱尔·乔治,6,36,3,0.4771,0.09,1,0,0.02
哈菲,2,20,3,0.4771,0.09,1,0,0.02
限令,2,13,3,0.4771,0.09,2,0.301,0.03
胶体,2,17,3,0.4771,0.09,2,0.301,0.03
吉玛·霍尼卡特,7,49,3,0.4771,0.09,1,0,0.02
梅德斯通,4,48,3,0.4771,0.09,1,0,0.02
架起,2,19,3,0.4771,0.09,2,0.301,0.03
冒险性,3,26,3,0.4771,0.09,3,0.4771,0.05
能屈能伸,4,35,3,0.4771,0.09,3,0.4771,0.05
欧文·马修斯,6,36,3,0.4771,0.09,1,0,0.02
布莱默,3,31,3,0.4771,0.09,1,0,0.02
顆,1,17,3,0.4771,0.09,1,0,0.02
金佑泽,3,23,3,0.4771,0.09,1,0,0.02
约翰·马吉,5,31,3,0.4771,0.09,1,0,0.02
祖伊·赖斯,5,40,3,0.4771,0.09,1,0,0.02
汉密,2,16,3,0.4771,0.09,1,0,0.02
父兄,2,9,3,0.4771,0.09,3,0.4771,0.05
伏尔,2,11,3,0.4771,0.09,1,0,0.02
破烂不堪,4,35,3,0.4771,0.09,3,0.4771,0.05
抗暴,2,22,3,0.4771,0.09,3,0.4771,0.05
斯高,2,22,3,0.4771,0.09,1,0,0.02
教委,2,19,3,0.4771,0.09,3,0.4771,0.05
圣卡罗,3,18,3,0.4771,0.09,1,0,0.02
获得性,3,29,3,0.4771,0.09,3,0.4771,0.05
榖,1,14,3,0.4771,0.09,3,0.4771,0.05
东西进,3,18,3,0.4771,0.09,3,0.4771,0.05
杰森朴,3,26,3,0.4771,0.09,1,0,0.02
亚当·西姆斯,6,38,3,0.4771,0.09,1,0,0.02
教头,2,16,3,0.4771,0.09,2,0.301,0.03
良苦用心,4,24,3,0.4771,0.09,3,0.4771,0.05
纳巴,2,11,3,0.4771,0.09,1,0,0.02
摩拉雷,3,36,3,0.4771,0.09,1,0,0.02
纳尔,2,12,3,0.4771,0.09,2,0.301,0.03
韩德尔,3,32,3,0.4771,0.09,3,0.4771,0.05
史蒂夫·凯撒,6,44,3,0.4771,0.09,1,0,0.02
汉尼,2,10,3,0.4771,0.09,2,0.301,0.03
普兰蒂斯,4,41,3,0.4771,0.09,1,0,0.02
纺锤,2,20,3,0.4771,0.09,1,0,0.02
亚拉松,3,22,3,0.4771,0.09,2,0.301,0.03
罗加斯,3,25,3,0.4771,0.09,3,0.4771,0.05
科瑞格,3,32,3,0.4771,0.09,1,0,0.02
玛妮,2,15,3,0.4771,0.09,1,0,0.02
选学,2,17,3,0.4771,0.09,1,0,0.02
余弦,2,15,3,0.4771,0.09,2,0.301,0.03
瑞奇利,3,28,3,0.4771,0.09,1,0,0.02
瑞博森,3,37,3,0.4771,0.09,1,0,0.02
考德维尔,4,37,3,0.4771,0.09,3,0.4771,0.05
告急,2,16,3,0.4771,0.09,3,0.4771,0.05
火车皮,3,13,3,0.4771,0.09,2,0.301,0.03
汉兹,2,14,3,0.4771,0.09,1,0,0.02
塔霍,2,28,3,0.4771,0.09,2,0.301,0.03
爱莲娜,3,29,3,0.4771,0.09,2,0.301,0.03
周森,2,20,3,0.4771,0.09,1,0,0.02
德拉克,3,30,3,0.4771,0.09,1,0,0.02
化纤,2,10,3,0.4771,0.09,3,0.4771,0.05
街巷,2,21,3,0.4771,0.09,3,0.4771,0.05
地对地,3,17,3,0.4771,0.09,1,0,0.02
脑际,2,17,3,0.4771,0.09,2,0.301,0.03
坡地,2,14,3,0.4771,0.09,2,0.301,0.03
种猪,2,20,3,0.4771,0.09,3,0.4771,0.05
侃侃而谈,4,32,3,0.4771,0.09,3,0.4771,0.05
细密,2,19,3,0.4771,0.09,3,0.4771,0.05
内珀维尔,4,29,3,0.4771,0.09,2,0.301,0.03
分块,2,11,3,0.4771,0.09,2,0.301,0.03
瑞蒙,2,26,3,0.4771,0.09,1,0,0.02
临了,2,11,3,0.4771,0.09,3,0.4771,0.05
埃姆贝雷,4,35,3,0.4771,0.09,1,0,0.02
街心,2,16,3,0.4771,0.09,3,0.4771,0.05
施普力,3,23,3,0.4771,0.09,1,0,0.02
晶状体,3,26,3,0.4771,0.09,3,0.4771,0.05
爱媛,2,22,3,0.4771,0.09,2,0.301,0.03
马里卡,3,15,3,0.4771,0.09,2,0.301,0.03
盖格南,3,30,3,0.4771,0.09,1,0,0.02
瑞茜,2,22,3,0.4771,0.09,3,0.4771,0.05
班宁堡,3,27,3,0.4771,0.09,1,0,0.02
玛勒,2,18,3,0.4771,0.09,2,0.301,0.03
总分,2,13,3,0.4771,0.09,3,0.4771,0.05
议价,2,11,3,0.4771,0.09,3,0.4771,0.05
金俊仁,3,21,3,0.4771,0.09,1,0,0.02
麝鼠,2,34,3,0.4771,0.09,3,0.4771,0.05
希拉克,3,22,3,0.4771,0.09,1,0,0.02
艾迪纳什,4,24,3,0.4771,0.09,1,0,0.02
耿,1,10,3,0.4771,0.09,2,0.301,0.03
言和,2,15,3,0.4771,0.09,3,0.4771,0.05
名垂千古,4,22,3,0.4771,0.09,3,0.4771,0.05
布朗士,3,18,3,0.4771,0.09,2,0.301,0.03
硅藻,2,30,3,0.4771,0.09,2,0.301,0.03
克拉克盖博,5,45,3,0.4771,0.09,3,0.4771,0.05
饭来张口,4,24,3,0.4771,0.09,3,0.4771,0.05
橹,1,16,3,0.4771,0.09,3,0.4771,0.05
路修斯,3,34,3,0.4771,0.09,1,0,0.02
普莱尔,3,27,3,0.4771,0.09,2,0.301,0.03
条绒,2,16,3,0.4771,0.09,1,0,0.02
阿尔瓦拉,4,24,3,0.4771,0.09,2,0.301,0.03
哈夫瑞吉·汤彼特·邦皮特,12,77,3,0.4771,0.09,1,0,0.02
萨拉·梅拉丝,6,43,3,0.4771,0.09,1,0,0.02
圣罗兰,3,18,3,0.4771,0.09,3,0.4771,0.05
罗路克,3,28,3,0.4771,0.09,1,0,0.02
麦克尔·杰克逊,7,43,3,0.4771,0.09,3,0.4771,0.05
凝脂,2,26,3,0.4771,0.09,3,0.4771,0.05
人寿,2,9,3,0.4771,0.09,3,0.4771,0.05
坤,1,8,3,0.4771,0.09,3,0.4771,0.05
下苦功,3,16,3,0.4771,0.09,3,0.4771,0.05
德尔伍德,4,41,3,0.4771,0.09,1,0,0.02
新址,2,20,3,0.4771,0.09,3,0.4771,0.05
巩,1,6,3,0.4771,0.09,2,0.301,0.03
丹尼·索恩,5,29,3,0.4771,0.09,1,0,0.02
苦刑,2,14,3,0.4771,0.09,2,0.301,0.03
偏振光,3,27,3,0.4771,0.09,2,0.301,0.03
格涅乌斯·庞贝·麦格纳斯,12,84,3,0.4771,0.09,3,0.4771,0.05
前言不搭后语,6,47,3,0.4771,0.09,3,0.4771,0.05
洛佩,2,17,3,0.4771,0.09,1,0,0.02
则已,2,9,3,0.4771,0.09,3,0.4771,0.05
罗西尼,3,19,3,0.4771,0.09,1,0,0.02
醉话,2,23,3,0.4771,0.09,3,0.4771,0.05
约翰·冯·沃尔夫豪森,10,69,3,0.4771,0.09,1,0,0.02
小达米安,4,21,3,0.4771,0.09,1,0,0.02
史洛摩,3,29,3,0.4771,0.09,1,0,0.02
阿尔伯特·派克,7,45,3,0.4771,0.09,1,0,0.02
侧卧,2,16,3,0.4771,0.09,3,0.4771,0.05
创刊号,3,16,3,0.4771,0.09,3,0.4771,0.05
罗里奥,3,27,3,0.4771,0.09,1,0,0.02
统一体,3,17,3,0.4771,0.09,3,0.4771,0.05
人次,2,8,3,0.4771,0.09,3,0.4771,0.05
哈德巴赫,4,42,3,0.4771,0.09,1,0,0.02
小熊座,3,27,3,0.4771,0.09,2,0.301,0.03
尽数,2,19,3,0.4771,0.09,3,0.4771,0.05
考入,2,8,3,0.4771,0.09,3,0.4771,0.05
米歇尔·拉格兰德,8,62,3,0.4771,0.09,1,0,0.02
伯朗宁,3,22,3,0.4771,0.09,2,0.301,0.03
阿玛朵,3,20,3,0.4771,0.09,1,0,0.02
基布利,3,23,3,0.4771,0.09,1,0,0.02
露西·威尔特默,7,67,3,0.4771,0.09,1,0,0.02
肖斯塔科维奇,6,59,3,0.4771,0.09,2,0.301,0.03
斯托布莱治,5,41,3,0.4771,0.09,1,0,0.02
米安人,3,14,3,0.4771,0.09,1,0,0.02
韩仁锡,3,29,3,0.4771,0.09,1,0,0.02
颔,1,13,3,0.4771,0.09,3,0.4771,0.05
条码,2,15,3,0.4771,0.09,3,0.4771,0.05
蒙泰尔,3,28,3,0.4771,0.09,1,0,0.02
基本法,3,24,3,0.4771,0.09,3,0.4771,0.05
爱丽舍,3,25,3,0.4771,0.09,1,0,0.02
规例,2,16,3,0.4771,0.09,2,0.301,0.03
还乡,2,10,3,0.4771,0.09,1,0,0.02
智人,2,14,3,0.4771,0.09,2,0.301,0.03
罗纳尔迪尼奥,6,45,3,0.4771,0.09,2,0.301,0.03
指挥舰,3,28,3,0.4771,0.09,3,0.4771,0.05
本科生,3,19,3,0.4771,0.09,2,0.301,0.03
鄙弃,2,20,3,0.4771,0.09,3,0.4771,0.05
哈恩,2,19,3,0.4771,0.09,2,0.301,0.03
彼得拉夫勒,5,42,3,0.4771,0.09,1,0,0.02
卡马洛,3,17,3,0.4771,0.09,2,0.301,0.03
克里斯多弗,5,37,3,0.4771,0.09,1,0,0.02
自然保护区,5,38,3,0.4771,0.09,3,0.4771,0.05
斯威士兰,4,29,3,0.4771,0.09,2,0.301,0.03
脓血,2,16,3,0.4771,0.09,3,0.4771,0.05
卡曼奇,3,24,3,0.4771,0.09,1,0,0.02
生啤酒,3,26,3,0.4771,0.09,3,0.4771,0.05
参赞,2,24,3,0.4771,0.09,3,0.4771,0.05
艾米利亚,4,24,3,0.4771,0.09,1,0,0.02
贾维尔,3,26,3,0.4771,0.09,2,0.301,0.03
卡尼斯,3,22,3,0.4771,0.09,1,0,0.02
克劳利,3,21,3,0.4771,0.09,1,0,0.02
圆白菜,3,26,3,0.4771,0.09,1,0,0.02
圣·约瑟夫,5,28,3,0.4771,0.09,3,0.4771,0.05
史派克,3,21,3,0.4771,0.09,1,0,0.02
巴赫曼,3,29,3,0.4771,0.09,1,0,0.02
吉赛尔·莱维,6,46,3,0.4771,0.09,1,0,0.02
就手,2,16,3,0.4771,0.09,3,0.4771,0.05
珍荣,2,18,3,0.4771,0.09,1,0,0.02
伊莱斯,3,28,3,0.4771,0.09,2,0.301,0.03
利普,2,19,3,0.4771,0.09,1,0,0.02
萨伦,2,17,3,0.4771,0.09,2,0.301,0.03
金刚经,3,22,3,0.4771,0.09,1,0,0.02
柯克·拉扎勒斯,7,51,3,0.4771,0.09,1,0,0.02
窝头,2,17,3,0.4771,0.09,3,0.4771,0.05
三郎,2,11,3,0.4771,0.09,3,0.4771,0.05
斯特拉福,4,43,3,0.4771,0.09,1,0,0.02
锦城,2,22,3,0.4771,0.09,2,0.301,0.03
盖普,2,23,3,0.4771,0.09,2,0.301,0.03
申冤,2,15,3,0.4771,0.09,3,0.4771,0.05
罗珊,2,17,3,0.4771,0.09,1,0,0.02
赫丝特,3,29,3,0.4771,0.09,1,0,0.02
非一日之寒,5,28,3,0.4771,0.09,3,0.4771,0.05
舍近求远,4,29,3,0.4771,0.09,3,0.4771,0.05
悔罪,2,23,3,0.4771,0.09,3,0.4771,0.05
塞维利亚,4,37,3,0.4771,0.09,3,0.4771,0.05
菲尔莫尔,4,31,3,0.4771,0.09,1,0,0.02
罗思克,3,24,3,0.4771,0.09,1,0,0.02
枯骨,2,18,3,0.4771,0.09,3,0.4771,0.05
串供,2,15,3,0.4771,0.09,2,0.301,0.03
苦味,2,16,3,0.4771,0.09,3,0.4771,0.05
慕名,2,20,3,0.4771,0.09,3,0.4771,0.05
见笑,2,14,3,0.4771,0.09,3,0.4771,0.05
奥瑞克,3,32,3,0.4771,0.09,1,0,0.02
迈迪森,3,26,3,0.4771,0.09,1,0,0.02
暴龙,2,20,3,0.4771,0.09,3,0.4771,0.05
高彰坤,3,32,3,0.4771,0.09,1,0,0.02
沙洛伦,3,22,3,0.4771,0.09,1,0,0.02
膝伤,2,21,3,0.4771,0.09,3,0.4771,0.05
听由,2,12,3,0.4771,0.09,3,0.4771,0.05
谢天,2,16,3,0.4771,0.09,2,0.301,0.03
相春,2,18,3,0.4771,0.09,1,0,0.02
话把,2,15,3,0.4771,0.09,3,0.4771,0.05
老城,2,15,3,0.4771,0.09,3,0.4771,0.05
新南威尔士,5,39,3,0.4771,0.09,1,0,0.02
格兰仕,3,20,3,0.4771,0.09,1,0,0.02
二十二万,4,9,3,0.4771,0.09,2,0.301,0.03
沾光,2,14,3,0.4771,0.09,3,0.4771,0.05
打照面,3,27,3,0.4771,0.09,3,0.4771,0.05
光宗耀祖,4,43,3,0.4771,0.09,2,0.301,0.03
西域,2,17,3,0.4771,0.09,2,0.301,0.03
胡志明市,4,29,3,0.4771,0.09,3,0.4771,0.05
默里山,3,26,3,0.4771,0.09,2,0.301,0.03
丹尼尔·班森,6,36,3,0.4771,0.09,1,0,0.02
麦费德,3,31,3,0.4771,0.09,1,0,0.02
纳西·威廉姆斯,7,55,3,0.4771,0.09,2,0.301,0.03
上数百万,4,25,3,0.4771,0.09,3,0.4771,0.05
里奇迪,3,23,3,0.4771,0.09,1,0,0.02
练习簿,3,30,3,0.4771,0.09,1,0,0.02
智功,2,17,3,0.4771,0.09,1,0,0.02
陈规陋习,4,26,3,0.4771,0.09,2,0.301,0.03
洛夫,2,13,3,0.4771,0.09,2,0.301,0.03
亚当·斯坦顿,6,42,3,0.4771,0.09,1,0,0.02
大奥普利,4,34,3,0.4771,0.09,2,0.301,0.03
补给站,3,26,3,0.4771,0.09,3,0.4771,0.05
酸牛奶,3,23,3,0.4771,0.09,3,0.4771,0.05
老史,2,11,3,0.4771,0.09,3,0.4771,0.05
离乡背井,4,26,3,0.4771,0.09,3,0.4771,0.05
老卜,2,8,3,0.4771,0.09,1,0,0.02
弄臣,2,13,3,0.4771,0.09,3,0.4771,0.05
耳听为虚,4,28,3,0.4771,0.09,3,0.4771,0.05
克兰布鲁,4,29,3,0.4771,0.09,1,0,0.02
巴图,2,12,3,0.4771,0.09,1,0,0.02
单口,2,11,3,0.4771,0.09,3,0.4771,0.05
揭竿而起,4,37,3,0.4771,0.09,3,0.4771,0.05
敦刻尔克,4,32,3,0.4771,0.09,2,0.301,0.03
钢丝绳,3,25,3,0.4771,0.09,2,0.301,0.03
西化,2,10,3,0.4771,0.09,3,0.4771,0.05
票面,2,20,3,0.4771,0.09,3,0.4771,0.05
米切·威尔金森,7,44,3,0.4771,0.09,1,0,0.02
眼馋,2,23,3,0.4771,0.09,3,0.4771,0.05
维多利亚州,5,36,3,0.4771,0.09,3,0.4771,0.05
吹动,2,13,3,0.4771,0.09,3,0.4771,0.05
娇滴滴,3,37,3,0.4771,0.09,3,0.4771,0.05
铁齐,2,16,3,0.4771,0.09,1,0,0.02
达尔布斯,4,28,3,0.4771,0.09,1,0,0.02
歌斐木,3,30,3,0.4771,0.09,1,0,0.02
抄件,2,13,3,0.4771,0.09,3,0.4771,0.05
鞭炮声,3,34,3,0.4771,0.09,2,0.301,0.03
老幺,2,9,3,0.4771,0.09,3,0.4771,0.05
老帅,2,11,3,0.4771,0.09,3,0.4771,0.05
袜带,2,19,3,0.4771,0.09,3,0.4771,0.05
潘尼贝克,4,31,3,0.4771,0.09,1,0,0.02
茶楼,2,22,3,0.4771,0.09,1,0,0.02
笃尔,2,14,3,0.4771,0.09,1,0,0.02
倒像,2,23,3,0.4771,0.09,3,0.4771,0.05
孟德斯,3,35,3,0.4771,0.09,1,0,0.02
供给量,3,29,3,0.4771,0.09,3,0.4771,0.05
后继有人,4,24,3,0.4771,0.09,3,0.4771,0.05
授奖,2,20,3,0.4771,0.09,3,0.4771,0.05
老张,2,13,3,0.4771,0.09,1,0,0.02
钟万,2,12,3,0.4771,0.09,1,0,0.02
迪亚·范迪,5,30,3,0.4771,0.09,1,0,0.02
哐啷,2,20,3,0.4771,0.09,1,0,0.02
吉蒂,2,18,3,0.4771,0.09,2,0.301,0.03
倒叙,2,19,3,0.4771,0.09,3,0.4771,0.05
老尹,2,10,3,0.4771,0.09,1,0,0.02
洒遍,2,21,3,0.4771,0.09,3,0.4771,0.05
一桩桩,3,21,3,0.4771,0.09,3,0.4771,0.05
鲍伯·罗斯,5,40,3,0.4771,0.09,1,0,0.02
聂小倩,3,23,3,0.4771,0.09,1,0,0.02
倒刺,2,18,3,0.4771,0.09,3,0.4771,0.05
区段,2,13,3,0.4771,0.09,2,0.301,0.03
拉扎勒斯,4,35,3,0.4771,0.09,1,0,0.02
玛拉辛格,4,32,3,0.4771,0.09,1,0,0.02
西平,2,11,3,0.4771,0.09,1,0,0.02
西梅干,3,20,3,0.4771,0.09,1,0,0.02
假说,2,20,3,0.4771,0.09,2,0.301,0.03
响鼻,2,23,3,0.4771,0.09,2,0.301,0.03
史考特费佛,5,37,3,0.4771,0.09,1,0,0.02
四边形,3,17,3,0.4771,0.09,3,0.4771,0.05
三段论,3,18,3,0.4771,0.09,2,0.301,0.03
瓦尼萨,3,20,3,0.4771,0.09,2,0.301,0.03
寅美,2,20,3,0.4771,0.09,1,0,0.02
辛伯,2,14,3,0.4771,0.09,2,0.301,0.03
阿布杜拉,4,27,3,0.4771,0.09,1,0,0.02
杜布罗夫尼克,6,36,3,0.4771,0.09,3,0.4771,0.05
罗思,2,17,3,0.4771,0.09,1,0,0.02
送殡,2,23,3,0.4771,0.09,2,0.301,0.03
艾希尔,3,17,3,0.4771,0.09,1,0,0.02
藻,1,19,3,0.4771,0.09,3,0.4771,0.05
西宝,2,14,3,0.4771,0.09,1,0,0.02
巴廷,2,10,3,0.4771,0.09,1,0,0.02
路口处,3,21,3,0.4771,0.09,3,0.4771,0.05
骄兵必败,4,29,3,0.4771,0.09,3,0.4771,0.05
池田,2,11,3,0.4771,0.09,1,0,0.02
卡斯伯,3,24,3,0.4771,0.09,2,0.301,0.03
亚历山大·柯文纳斯,9,48,3,0.4771,0.09,1,0,0.02
抠字眼,3,24,3,0.4771,0.09,3,0.4771,0.05
漏光,2,20,3,0.4771,0.09,3,0.4771,0.05
东方航空,4,27,3,0.4771,0.09,3,0.4771,0.05
史麦利,3,19,3,0.4771,0.09,1,0,0.02
新井,2,17,3,0.4771,0.09,3,0.4771,0.05
萨扬,2,17,3,0.4771,0.09,1,0,0.02
埃戈西奥,4,32,3,0.4771,0.09,1,0,0.02
德拉斯·德·摩尔,8,70,3,0.4771,0.09,1,0,0.02
克瑞斯托,4,38,3,0.4771,0.09,1,0,0.02
屈班娜,3,27,3,0.4771,0.09,1,0,0.02
排印,2,16,3,0.4771,0.09,2,0.301,0.03
莱彼德斯,4,45,3,0.4771,0.09,2,0.301,0.03
罗尔,2,13,3,0.4771,0.09,2,0.301,0.03
老杰,2,14,3,0.4771,0.09,2,0.301,0.03
单摆,2,21,3,0.4771,0.09,1,0,0.02
罗弗,2,13,3,0.4771,0.09,1,0,0.02
巴托,2,10,3,0.4771,0.09,2,0.301,0.03
科宾·塞拉斯,6,52,3,0.4771,0.09,1,0,0.02
伊斯玛尔,4,30,3,0.4771,0.09,1,0,0.02
疏解,2,25,3,0.4771,0.09,3,0.4771,0.05
隆巴顿,3,25,3,0.4771,0.09,3,0.4771,0.05
欠税,2,16,3,0.4771,0.09,3,0.4771,0.05
鹾,1,16,3,0.4771,0.09,2,0.301,0.03
卡米,2,11,3,0.4771,0.09,2,0.301,0.03
艾布拉姆,4,26,3,0.4771,0.09,1,0,0.02
罗夫,2,12,3,0.4771,0.09,3,0.4771,0.05
塞伦盖蒂,4,42,3,0.4771,0.09,3,0.4771,0.05
安全玻璃,4,35,3,0.4771,0.09,3,0.4771,0.05
阿戈尔,3,16,3,0.4771,0.09,1,0,0.02
利丝,2,12,3,0.4771,0.09,1,0,0.02
阿汉尼,3,17,3,0.4771,0.09,1,0,0.02
总预算,3,33,3,0.4771,0.09,1,0,0.02
咕嘟,2,21,3,0.4771,0.09,2,0.301,0.03
辅料,2,21,3,0.4771,0.09,3,0.4771,0.05
布鲁姆菲尔,5,41,3,0.4771,0.09,2,0.301,0.03
陪审席,3,28,3,0.4771,0.09,3,0.4771,0.05
温德翰姆,4,51,3,0.4771,0.09,1,0,0.02
本·富兰克林,6,37,3,0.4771,0.09,3,0.4771,0.05
讪笑,2,15,3,0.4771,0.09,3,0.4771,0.05
巴杜,2,11,3,0.4771,0.09,1,0,0.02
西斯庭,3,27,3,0.4771,0.09,1,0,0.02
商业委员会,5,37,3,0.4771,0.09,2,0.301,0.03
加盟店,3,26,3,0.4771,0.09,2,0.301,0.03
马拉松式,4,25,3,0.4771,0.09,3,0.4771,0.05
埃姆斯,3,30,3,0.4771,0.09,2,0.301,0.03
椽子,2,16,3,0.4771,0.09,3,0.4771,0.05
前哨战,3,28,3,0.4771,0.09,3,0.4771,0.05
康敏斯,3,34,3,0.4771,0.09,2,0.301,0.03
走马观花,4,23,3,0.4771,0.09,3,0.4771,0.05
本·克莱恩,5,32,3,0.4771,0.09,1,0,0.02
戏剧界,3,25,3,0.4771,0.09,3,0.4771,0.05
弗洛伦斯,4,32,3,0.4771,0.09,3,0.4771,0.05
醇酒,2,25,3,0.4771,0.09,3,0.4771,0.05
西沙,2,13,3,0.4771,0.09,1,0,0.02
宅院,2,15,3,0.4771,0.09,2,0.301,0.03
罗吉,2,14,3,0.4771,0.09,1,0,0.02
西泮,2,14,3,0.4771,0.09,3,0.4771,0.05
奔走相告,4,31,3,0.4771,0.09,3,0.4771,0.05
周前刚,3,23,3,0.4771,0.09,3,0.4771,0.05
六点三,3,16,3,0.4771,0.09,3,0.4771,0.05
卡洛瑟,3,27,3,0.4771,0.09,1,0,0.02
寻的,2,14,3,0.4771,0.09,3,0.4771,0.05
麦克斯韦,4,30,3,0.4771,0.09,2,0.301,0.03
施蒂芬妮,4,36,3,0.4771,0.09,1,0,0.02
波儿士摩,4,28,3,0.4771,0.09,1,0,0.02
检疫站,3,30,3,0.4771,0.09,1,0,0.02
娜·伯朗特,5,36,3,0.4771,0.09,1,0,0.02
多诺特莱,4,36,3,0.4771,0.09,1,0,0.02
桀骜不驯,4,33,3,0.4771,0.09,3,0.4771,0.05
萨梅,2,22,3,0.4771,0.09,1,0,0.02
排头,2,16,3,0.4771,0.09,3,0.4771,0.05
莫奥克丝,4,34,3,0.4771,0.09,1,0,0.02
盖乌斯·屋大维·凯撒,10,73,3,0.4771,0.09,3,0.4771,0.05
同步卫星,4,25,3,0.4771,0.09,3,0.4771,0.05
汤真,2,16,3,0.4771,0.09,3,0.4771,0.05
谢拉,2,20,3,0.4771,0.09,3,0.4771,0.05
原十兵,3,19,3,0.4771,0.09,1,0,0.02
不祥之兆,4,23,3,0.4771,0.09,3,0.4771,0.05
海产品,3,25,3,0.4771,0.09,3,0.4771,0.05
倒扣,2,16,3,0.4771,0.09,2,0.301,0.03
泰德·邦迪,5,39,3,0.4771,0.09,2,0.301,0.03
比立斯,3,21,3,0.4771,0.09,1,0,0.02
丰姿,2,13,3,0.4771,0.09,2,0.301,0.03
卡尔迈克尔,5,28,3,0.4771,0.09,1,0,0.02
艾伦·乌尔夫,6,24,3,0.4771,0.09,1,0,0.02
既得利益,4,37,3,0.4771,0.09,3,0.4771,0.05
斑块,2,19,3,0.4771,0.09,3,0.4771,0.05
帕瓦蒂,3,24,3,0.4771,0.09,1,0,0.02
西格,2,16,3,0.4771,0.09,1,0,0.02
主攻手,3,16,3,0.4771,0.09,2,0.301,0.03
范德阿,3,30,3,0.4771,0.09,1,0,0.02
验票,2,21,3,0.4771,0.09,3,0.4771,0.05
弑君,2,19,3,0.4771,0.09,3,0.4771,0.05
石九,2,7,3,0.4771,0.09,1,0,0.02
罗卡,2,13,3,0.4771,0.09,1,0,0.02
歪门邪道,4,30,3,0.4771,0.09,3,0.4771,0.05
屠龙客,3,25,3,0.4771,0.09,3,0.4771,0.05
蒙特克,3,30,3,0.4771,0.09,1,0,0.02
